Start_Lat,Start_Lng,Distance(mi),Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),hour_sin,hour_cos,month,dayofweek,is_weekend,State,Timezone,Weather_Condition,Wind_Direction,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Junction,Traffic_Signal,Crossing,Stop,Give_Way,Railway,Roundabout,Amenity,Bump,Station,y_true,y_prob,y_pred
41.77297,-87.61546,0.332,72.0,,81.0,29.81,10.0,10.4,,-0.5000000000000004,0.8660254037844384,7.0,2.0,0,IL,US/Central,Overcast,West,Night,Night,Night,Day,0,1,1,0,0,0,0,0,0,1,1,0.9749399,1
41.857681,-87.644386,0.0,72.0,72.0,81.0,29.31,9.0,8.0,0.0,-0.5000000000000004,0.8660254037844384,6.0,3.0,0,IL,US/Central,Cloudy,S,Night,Night,Night,Night,1,1,1,0,0,0,0,0,0,0,1,0.9747585,1
41.87543,-87.67409,0.552,42.1,34.9,92.0,29.81,6.0,13.8,,-0.7071067811865477,0.7071067811865474,4.0,4.0,0,IL,US/Central,Overcast,NNE,Night,Night,Night,Night,0,0,0,0,0,1,0,0,0,1,1,0.974259,1
